Taxon,Body_S1,Body_S2,Crown_S1,Crown_S2,Forecrown_S1,Forecrown_S2,Mantle_S1,Mantle_S2,Body_S3,Crown_S3,Head_S1,Head_S2,Head_S3,Mask_S1,Mask_S2,Mask_S3,Rectrices [color]_S1,Rectrices [color]_S2,Rectrices [color]_S3,Rectrices [inner elongated]_S1,Rectrices [inner elongated]_S2,Rectrices [inner elongated]_S3,Remiges_S1,Remiges_S2,Remiges_S3,Mantle_S3,Body_S4,Crown_S4,Mantle_S4,Mask_S4,Rectrices [color]_S4,Rectrices [inner elongated]_S4,Remiges_S4,Nape_S1,Nape_S2,Throat_S1,Throat_S2,Back_S1,Back_S2,Forecrown_S3,Nape_S3,Throat_S3,Rectrix [outer narrow]_S1
Antilophia_galeata,1,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_caudata,0,1,2,2,0,0,0,0,2,2,0,2,2,1,0,0,0,1,2,2,2,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_lanceolata,0,1,1,2,0,0,0,1,2,2,0,0,0,1,1,0,0,0,0,2,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_linearis,0,0,1,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,1,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Chiroxiphia_pareola,0,1,1,2,0,0,0,1,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloropipo_flavicapilla,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Corapipo_gutturalis,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Corapipo_leucorrhoa,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
Illicura_militaris,1,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,0,0
Masius_chrysopterus,0,1,0,1,1,1,0,0,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,1,1,2,0,0,2,2,2,0
Neopelma_aurifrons,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neopelma_chrysolophum,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neopelma_pallescens,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyranneutes_stolzmanni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyranneutes_virescens,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
